,System Name,Observation no.,Number of Diagnoses,Minimal Cardinality,Maximal Cardinality,Runtim e (ms)
0,74283,1,6,1,2,--
1,74283,2,21,2,3,--
2,74283,3,9,1,2,--
3,74283,4,9,1,2,--
4,74283,5,30,2,4,--
5,74283,6,35,2,2,--
6,74283,7,25,2,4,--
7,74283,8,116,3,3,--
8,74283,9,19,1,4,--
9,74283,10,697,4,4,--
10,74283,11,28,2,3,--
11,74283,12,5,2,2,--
12,74283,13,24,1,4,--
13,74283,14,13,1,2,--
14,74283,15,31,3,3,--
15,74283,16,26,2,2,--
16,74283,17,7,3,3,--
17,74283,18,22,2,2,--
18,74283,19,43,2,5,--
19,74283,20,34,2,4,--
20,74283,21,21,2,2,--
21,74283,22,37,2,3,--
22,74283,23,10,1,2,--
23,74283,24,47,2,4,--
24,74283,25,9,1,2,--
25,74283,26,29,1,2,--
26,74283,27,22,1,2,--
27,74283,28,27,2,2,--
28,74283,29,21,2,4,--
29,74283,30,54,1,3,--
30,74283,31,16,1,3,--
31,74283,32,28,1,4,--
32,74283,33,12,2,2,--
33,74283,34,5,1,1,--
34,74283,35,17,2,2,--
35,74283,36,85,3,3,--
36,74283,37,129,2,3,--
37,74283,38,169,1,4,--
38,74283,39,13,1,2,--
39,74283,40,64,2,4,--
40,74283,41,34,2,4,--
41,74283,42,178,2,4,--
42,74283,43,16,2,2,--
43,74283,44,9,1,2,--
44,74283,45,48,2,4,--
45,74283,46,36,2,2,--
46,74283,47,6,1,2,--
47,74283,48,41,3,3,--
48,74283,49,30,2,2,--
49,74283,50,40,1,6,--
50,74283,51,461,1,4,--
51,74283,52,29,3,3,--
52,74283,53,18,1,4,--
53,74283,54,280,2,4,--
54,74283,55,26,2,4,--
55,74283,56,72,2,4,--
56,74283,57,52,2,4,--
57,74283,58,187,2,4,--
58,74283,59,14,2,2,--
59,74283,60,49,2,3,--
60,74283,61,34,1,5,--
61,74283,62,153,2,4,--
62,74283,63,16,2,2,--
63,74283,64,58,1,2,--
64,74283,65,25,3,3,--
65,74283,66,28,1,4,--
66,74283,67,11,1,2,--
67,74283,68,11,1,2,--
68,74283,69,45,2,5,--
69,74283,70,11,3,3,--
70,74283,71,140,1,4,--
71,74283,72,12,3,3,--
72,74283,73,23,2,3,--
73,74283,74,136,2,4,--
74,74283,75,26,2,2,--
75,74283,76,178,3,3,--
76,74283,77,11,1,3,--
77,74283,78,12,2,3,--
78,74283,79,505,2,4,--
79,74283,80,22,2,2,--
80,74283,81,54,2,3,--
81,74283,82,246,3,3,--
82,74283,83,5,2,2,--
83,74283,84,20,2,2,--
84,74283,85,52,2,4,--
85,74283,86,10,2,2,--
86,74283,87,208,2,3,--
87,74283,88,184,3,3,--
88,74283,89,19,1,2,--
89,74283,90,208,2,4,--
90,74283,91,66,2,4,--
91,74283,92,340,2,4,--
92,74283,93,541,2,4,--
93,74283,94,80,3,3,--
94,74283,95,33,2,4,--
95,74283,96,64,2,5,--
96,74283,97,27,2,4,--
97,74283,98,9,1,2,--
98,74283,99,21,2,3,--
99,74283,100,42,3,3,--
100,74283,101,65,3,4,--
101,74283,102,143,2,4,--
102,74283,103,132,3,3,--
103,74283,104,80,3,3,--
104,74283,105,54,3,5,--
105,74283,106,2,1,2,--
106,74283,107,87,2,4,--
107,74283,108,4,1,2,--
108,74283,109,48,3,3,--
109,74283,110,192,3,3,--
110,74283,111,95,3,3,--
111,74283,112,1138,2,4,--
112,74283,113,304,3,5,--
113,74283,114,19,2,2,--
114,74283,115,27,2,5,--
115,74283,116,18,2,4,--
116,74283,117,30,2,2,--
117,74283,118,60,2,3,--
118,74283,119,235,2,4,--
119,74283,120,10,2,4,--
120,74283,121,13,2,5,--
121,74283,122,29,3,3,--
122,74283,123,36,3,3,--
123,74283,124,5,2,2,--
124,74283,125,74,2,4,--
125,74283,126,113,2,4,--
126,74283,127,5,2,4,--
127,74283,128,29,2,2,--
128,74283,129,211,3,3,--
129,74283,130,28,3,3,--
130,74283,131,22,2,4,--
131,74283,132,561,3,6,--
132,74283,133,189,2,4,--
133,74283,134,4,2,4,--
134,74283,135,80,3,3,--
135,74283,136,34,2,4,--
136,74283,137,12,3,3,--
137,74283,138,39,2,4,--
138,74283,139,1344,4,4,--
139,74283,140,136,4,4,--
140,74283,141,20,3,3,--
141,74283,142,31,2,5,--
142,74283,143,200,2,4,--
143,74283,144,96,2,4,--
144,74283,145,143,2,4,--
145,74283,146,62,2,5,--
146,74283,147,2,3,3,--
147,74283,148,84,3,3,--
148,74283,149,162,3,3,--
149,74283,150,937,2,4,--
150,74283,151,5,2,2,--
151,74283,152,20,2,2,--
152,74283,153,10,3,3,--
153,74283,154,5,2,2,--
154,74283,155,960,4,4,--
155,74283,156,19,2,4,--
156,74283,157,20,3,3,--
157,74283,158,110,3,3,--
158,74283,159,142,2,5,--
159,74283,160,240,3,3,--
160,74283,161,6,3,3,--
161,74283,162,1680,4,4,--
162,74283,163,144,3,3,--
163,74283,164,106,3,6,--
164,74283,165,1000,3,5,--
165,74283,166,110,3,3,--
166,74283,167,20,3,3,--
167,74283,168,5,3,3,--
168,74283,169,78,2,4,--
169,74283,170,200,2,4,--
170,74283,171,6,1,3,--
171,74283,172,5,2,2,--
172,74283,173,25,3,3,--
173,74283,174,43,2,4,--
174,74283,175,20,3,3,--
175,74283,176,48,3,3,--
176,74283,177,14,3,3,--
177,74283,178,336,3,3,--
178,74283,179,60,3,3,--
179,74283,180,51,2,5,--
180,74283,181,111,3,5,--
181,74283,182,336,3,3,--
182,74283,183,13,2,5,--
183,74283,184,48,3,3,--
184,74283,185,56,3,5,--
185,74283,186,142,2,5,--
186,74283,187,528,4,4,--
187,74283,188,1344,4,4,--
188,74283,189,60,3,3,--
189,74283,190,37,2,5,--
190,74283,191,1998,4,4,--
191,74283,192,110,3,3,--
192,74283,193,78,3,5,--
193,74283,194,101,2,5,--
194,74283,195,5,1,1,--
195,74283,196,240,3,3,--
196,74283,197,50,3,3,--
197,74283,198,22,2,5,--
198,74283,199,120,3,3,--
199,74283,200,4,1,3,--
200,74283,201,336,4,4,--
201,74283,202,5,2,2,--
