,System Name,Observation no.,Number of Diagnoses,Minimal Cardinality,Maximal Cardinality,Runtim e (ms)
0,c17,1,2,1,--,0.0002460479736328125
1,c17,2,3,1,--,0.00022101402282714844
2,c17,3,2,1,--,0.00023102760314941406
3,c17,4,3,1,--,0.00022292137145996094
4,c17,5,4,1,--,0.00021982192993164062
5,c17,6,2,1,--,0.00022912025451660156
6,c17,7,4,1,--,0.00021767616271972656
7,c17,8,3,1,--,0.00021886825561523438
8,c17,9,2,1,--,0.00022912025451660156
9,c17,10,2,1,--,0.00023102760314941406
10,c17,11,3,1,--,0.00017905235290527344
11,c17,12,3,1,--,0.0002181529998779297
12,c17,13,2,1,--,0.0002300739288330078
13,c17,14,3,1,--,0.0002181529998779297
14,c17,15,3,1,--,0.00016379356384277344
15,c17,16,3,1,--,0.000164031982421875
16,c17,17,4,1,--,0.0002129077911376953
17,c17,18,3,1,--,0.00013899803161621094
18,c17,19,3,1,--,0.0001380443572998047
19,c17,20,5,1,--,0.0002162456512451172
20,c17,21,3,1,--,0.0001647472381591797
21,c17,22,3,1,--,0.0001862049102783203
22,c17,23,3,1,--,0.00017213821411132812
23,c17,24,5,1,--,0.000225067138671875
24,c17,25,3,1,--,0.0001671314239501953
25,c17,26,4,1,--,0.000225067138671875
26,c17,27,2,1,--,0.0002281665802001953
27,c17,28,3,1,--,0.00024890899658203125
28,c17,29,4,1,--,0.0002319812774658203
29,c17,30,3,1,--,0.00014209747314453125
30,c17,31,3,1,--,0.0001659393310546875
31,c17,32,3,1,--,0.000164031982421875
32,c17,33,3,1,--,0.0001628398895263672
33,c17,34,3,1,--,0.000164031982421875
34,c17,35,3,1,--,0.0001628398895263672
35,c17,36,4,1,--,0.00021409988403320312
36,c17,37,3,1,--,0.0001380443572998047
37,c17,38,3,1,--,0.0001380443572998047
38,c17,39,4,1,--,0.0002129077911376953
39,c17,40,3,1,--,0.00013780593872070312
40,c17,41,3,1,--,0.000164031982421875
41,c17,42,4,1,--,0.00012683868408203125
42,c17,43,5,1,--,0.00021409988403320312
43,c17,44,3,1,--,0.00013899803161621094
44,c17,45,2,1,--,0.00022292137145996094
45,c17,46,4,1,--,0.00021409988403320312
46,c17,47,2,1,--,0.00022292137145996094
47,c17,48,3,1,--,0.00016379356384277344
48,c17,49,3,1,--,0.0001380443572998047
49,c17,50,3,1,--,0.000164031982421875
50,c17,51,6,2,--,0.00027823448181152344
51,c17,52,3,2,--,0.0002760887145996094
52,c17,53,3,2,--,0.0002758502960205078
53,c17,54,4,2,--,0.0002770423889160156
54,c17,55,4,2,--,0.0002770423889160156
55,c17,56,4,2,--,0.0002770423889160156
56,c17,57,5,2,--,0.0002770423889160156
57,c17,58,5,2,--,0.0002753734588623047
58,c17,59,5,2,--,0.0002760887145996094
59,c17,60,5,2,--,0.0002760887145996094
60,c17,61,5,2,--,0.0002808570861816406
61,c17,62,4,2,--,0.0002880096435546875
62,c17,63,5,2,--,0.0003039836883544922
